rank,title,articleTitle,year,wikipediaUrl,popularityScore,monthlyAverageViews,materialConfidence,materialSignals
1,Pietà (Michelangelo),Pietà (Michelangelo),1499,https://en.wikipedia.org/wiki/Piet%C3%A0_(Michelangelo),604149,50346,high,marble
2,Manneken Pis,Manneken Pis,1619,https://en.wikipedia.org/wiki/Manneken_Pis,292451,24371,high,stone|bronze
3,Ecstasy of Saint Teresa,Ecstasy of Saint Teresa,1647,https://en.wikipedia.org/wiki/Ecstasy_of_Saint_Teresa,260343,21695,high,marble
4,crystal skull,Crystal skull,1881,https://en.wikipedia.org/wiki/Crystal_skull,142635,11886,high,stone
5,Capitoline Wolf,Capitoline Wolf,-500,https://en.wikipedia.org/wiki/Capitoline_Wolf,128999,10750,high,bronze
6,Madonna of Bruges,Madonna of Bruges,1503,https://en.wikipedia.org/wiki/Madonna_of_Bruges,126482,10540,high,marble
7,Chair of Saint Peter,Chair of Saint Peter,1647,https://en.wikipedia.org/wiki/Chair_of_Saint_Peter,91750,7646,high,bronze
8,Aztec sun stone,Aztec sun stone,1510,https://en.wikipedia.org/wiki/Aztec_sun_stone,90923,7577,high,stone
9,Apollo and Daphne,Apollo and Daphne (Bernini),1622,https://en.wikipedia.org/wiki/Apollo_and_Daphne_(Bernini),83928,6994,high,marble
10,Venus Callipyge,Venus Callipyge,-50,https://en.wikipedia.org/wiki/Venus_Callipyge,78440,6537,high,marble
11,Riace bronzes,Riace bronzes,-459,https://en.wikipedia.org/wiki/Riace_bronzes,55955,4663,high,bronze
12,Alexander Sarcophagus,Alexander Sarcophagus,-380,https://en.wikipedia.org/wiki/Alexander_Sarcophagus,52497,4375,high,stone
13,David,David (Bernini),1624,https://en.wikipedia.org/wiki/David_(Bernini),49198,4100,high,marble
14,Lady of Elche,Lady of Elche,-500,https://en.wikipedia.org/wiki/Lady_of_Elche,47846,3987,high,stone|limestone
15,Rondanini Pietà,Rondanini Pietà,1564,https://en.wikipedia.org/wiki/Rondanini_Piet%C3%A0,42796,3566,high,marble
16,Bacchus,Bacchus (Michelangelo),1497,https://en.wikipedia.org/wiki/Bacchus_(Michelangelo),39228,3269,high,marble
17,Serpent Column,Serpent Column,-500,https://en.wikipedia.org/wiki/Serpent_Column,38532,3211,high,bronze
18,Muisca raft,Muisca raft,1600,https://en.wikipedia.org/wiki/Muisca_raft,30291,2524,high,copper
19,Artemision Bronze,Artemision Bronze,-459,https://en.wikipedia.org/wiki/Artemision_Bronze,30166,2514,high,bronze
20,Judith and Holofernes,Judith and Holofernes (Donatello),1460,https://en.wikipedia.org/wiki/Judith_and_Holofernes_(Donatello),22379,1865,high,bronze
21,Pediments of the Parthenon,Pediments of the Parthenon,-439,https://en.wikipedia.org/wiki/Pediments_of_the_Parthenon,17099,1425,high,marble
22,Gayer-Anderson cat,Gayer-Anderson cat,-331,https://en.wikipedia.org/wiki/Gayer-Anderson_cat,16477,1373,high,bronze
23,Kritios Boy,Kritios Boy,-480,https://en.wikipedia.org/wiki/Kritios_Boy,15720,1310,high,marble
24,Kroisos Kouros,Kroisos Kouros,-530,https://en.wikipedia.org/wiki/Kroisos_Kouros,14585,1215,high,marble
25,Gemma Augustea,Gemma Augustea,10,https://en.wikipedia.org/wiki/Gemma_Augustea,12901,1075,high,stone
26,Zbruch Idol,Zbruch Idol,1100,https://en.wikipedia.org/wiki/Zbruch_Idol,12440,1037,high,stone|limestone
