source,id,title,format,triangles,size_mb,url,license,provenance_note,access_note,page_url
SMK Open API,KAS105,Brutus,stl,10109482,482.1,https://api.smk.dk/api/v1/download-3d/pz50h1458_smk-kas105-brutus.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS105
SMK Open API,KAS113/2,Aften (Crepuscolo),stl,10012514,477.4,https://api.smk.dk/api/v1/download-3d/3n204405h_smk-kas113-2-allegory-of-dusk.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS113/2
SMK Open API,KAS113/3,Morgen (Aurora),stl,10000030,476.8,https://api.smk.dk/api/v1/download-3d/k643b617z_smk-kas113-3-allegory-of-dawn.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS113/3
SMK Open API,KAS113/1,"Lorenzo de'Medici, Hertug af Urbino",stl,9999999,476.8,https://api.smk.dk/api/v1/download-3d/df65vd372_smk-kas113-1-lorenzo-de-medici-decimated.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS113/1
SMK Open API,KAS455,Kentaurkamp,stl,8989260,428.6,https://api.smk.dk/api/v1/download-3d/h415pg24h_smk-kas455-battle-of-the-centaurs.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS455
SMK Open API,KAS2361,"Jomfru Maria støtter den døde Kristus, 'Rondanini-Pietà",stl,8000020,381.5,https://api.smk.dk/api/v1/download-3d/0z709169b_smk-kas2361-rondanini-pieta.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS2361
SMK Open API,KAS112/2,Nat (Notte),stl,7999924,381.5,https://api.smk.dk/api/v1/download-3d/mg74qr55m_smk-kas112-2-night.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS112/2
SMK Open API,KAS114,"Jomfru Maria med Barnet, 'Medici-Madonna'",stl,7996096,381.3,https://api.smk.dk/api/v1/download-3d/x633f5719_smk-kas114-medici-madonna.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS114
SMK Open API,KAS112/1,"Giuliano de'Medici, Hertug af Nemours",stl,7500000,357.6,https://api.smk.dk/api/v1/download-3d/dn39x6162_smk-kas112-1-guiliano-de-medici-decimated.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS112/1
SMK Open API,KAS2382,Siddende dreng,stl,3055240,145.7,https://api.smk.dk/api/v1/download-3d/q524jt29h_smk-51-kas2382.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS2382
SMK Open API,KAS243,Moses,stl,2000090,95.4,https://api.smk.dk/api/v1/download-3d/m900p022q_154-smk-inv-243-moses.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS243
SMK Open API,KAS87,Den døende fange,stl,2000012,95.4,https://api.smk.dk/api/v1/download-3d/6969z5201_the-dying-slave.stl,https://creativecommons.org/publicdomain/zero/1.0/,Kopi efter,Direct download URL from museum API,https://open.smk.dk/artwork/image/KAS87
