rank,uid,title,creator,estimatedArtist,estimatedPeriod,faceCount,vertexCount,likeCount,viewCount,commentCount,archiveTypes,viewerUrl,publishedAt
1,8f4827cf36964a17b90bad11f48298ac,David by Michelangelo,jerryfisher,michelangelo,renaissance,366012,221596,492,150026,22,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-8f4827cf36964a17b90bad11f48298ac,2015-01-31T08:05:42
2,d29af50360624e5e9b1855666475380d,"Head Of Michelangelo's David, Optimised",Thomas Flynn,michelangelo,renaissance,100000,55940,842,82002,16,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-d29af50360624e5e9b1855666475380d,2022-01-12T14:28:15.793146
3,430b9e5354484860b8b41505e9b63298,"Fountain with three putts, Brno Lužánky",3dhdscan,,renaissance,89129,84768,727,27963,8,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-430b9e5354484860b8b41505e9b63298,2017-08-26T05:40:11.301457
4,0285f6b21ed545918511f4ee0fcd40ff,Bronze Moses at Augustana University,jerryfisher,michelangelo,renaissance,516526,324531,604,20097,35,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-0285f6b21ed545918511f4ee0fcd40ff,2016-09-13T01:47:22.072753
5,04a8e7b1ba9142ba8cebc6108cd5bb97,Statue of liberty,3Dystopia,bartholdi,,19780,59326,263,36656,2,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-04a8e7b1ba9142ba8cebc6108cd5bb97,2021-07-13T14:19:13.682268
6,f21d998c67774d10855def0003854c08,Philopoemen - Louvre Museum,Benjamin Bardou,,,511794,389553,437,16575,5,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-f21d998c67774d10855def0003854c08,2017-02-06T22:07:18.740516
7,3a8f65d7db8e4ba7a0ea886e2b636128,David by Michelangelo,jerryfisher,michelangelo,renaissance,149466,90816,315,25683,5,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-3a8f65d7db8e4ba7a0ea886e2b636128,2016-04-14T10:18:44.927194
8,bdcd0813bf54467fb879ee1681a3a6d3,“Mercury about to kill Argos” by B. Thorvaldsen,Virtual Museums of Małopolska,thorvaldsen,,292385,174254,341,13195,5,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-bdcd0813bf54467fb879ee1681a3a6d3,2017-10-23T12:25:55.524632
9,d4328120c44d470ca86c678220e3921b,Gates of Hell,Alan Zimmerman,rodin,,175663,114960,265,20018,3,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-d4328120c44d470ca86c678220e3921b,2015-12-02T19:06:59.701990
10,36bea7ec68844e0f94f2e2effa7e05eb,"Fontana di Trevi - Rome, Italy - 1732",Raiz,,baroque,180003,185990,229,19016,3,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-36bea7ec68844e0f94f2e2effa7e05eb,2020-04-11T19:50:43.275289
